,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
0,80,24.3,7.8,3.0,6.4,45.7,0.1,0.3,22.6,2.0,2.9,72.1,2.2,2.0,3.8,3.2,1.1,0.2,1.6,1
1,75,21.8,10.5,4.2,7.9,55.1,0.0,0.0,34.9,2.4,3.6,67.8,3.6,3.7,6.6,0.7,0.5,0.6,1.4,1
2,85,19.1,4.5,1.9,4.5,42.8,0.4,1.2,34.3,0.4,0.6,75.7,0.6,1.8,2.4,0.8,0.4,0.2,0.6,1
3,63,19.1,8.2,3.5,6.7,52.5,0.3,0.8,23.7,0.9,1.5,66.9,0.8,2.0,3.0,1.8,0.4,0.1,1.9,1
4,63,17.8,3.7,1.7,3.4,50.8,0.5,1.4,13.7,0.2,0.5,54.0,2.4,2.7,4.9,0.4,0.4,0.6,0.7,1
5,88,20.0,8.8,3.7,8.7,43.6,0.0,0.0,6.9,2.0,2.8,75.1,1.8,2.9,4.7,1.8,0.4,0.3,1.1,1
6,70,20.6,7.0,3.2,5.4,58.9,0.1,0.0,0.0,0.7,1.4,56.7,2.9,4.6,7.6,0.6,0.4,0.7,1.2,1
7,57,17.6,5.4,1.7,4.7,37.2,0.9,2.8,33.2,1.4,1.8,78.3,0.8,1.7,2.6,0.4,0.6,0.6,0.3,1
8,46,26.5,9.3,3.1,7.2,44.0,0.6,1.7,27.5,2.0,2.3,82.1,1.3,2.8,4.1,1.8,0.7,0.6,1.7,1
9,64,33.4,16.9,6.4,11.3,59.0,0.3,1.1,0.0,3.7,4.9,74.9,3.4,8.0,11.9,0.8,0.4,2.5,2.4,1
10,72,30.6,13.2,4.9,11.0,46.9,1.0,2.5,48.1,2.0,2.8,74.1,1.0,3.1,3.9,4.0,1.1,0.2,1.5,1
11,47,15.2,6.5,2.5,6.5,38.3,0.7,2.5,39.7,0.8,1.1,75.5,0.6,1.3,2.0,0.3,0.4,0.3,0.7,1
12,41,9.8,2.3,0.9,2.3,37.9,0.0,0.0,0.0,0.9,1.3,64.7,1.5,1.9,3.5,0.2,0.3,0.4,0.4,0
13,64,29.7,12.0,4.2,9.6,45.2,0.8,2.1,28.3,2.7,3.3,76.8,1.5,3.1,4.8,3.8,1.5,0.0,2.0,1
14,90,31.1,12.9,4.9,10.3,47.0,0.3,1.1,17.0,2.5,2.6,93.4,1.6,3.4,4.7,2.3,0.6,0.4,2.5,1
15,45,5.2,1.3,0.5,1.4,41.0,0.1,0.1,21.1,0.2,0.2,73.3,0.3,0.7,1.0,0.2,0.2,0.2,0.5,1
16,29,7.5,1.9,0.7,2.6,30.1,0.3,1.0,26.8,0.3,0.4,68.0,0.4,0.8,1.2,0.5,0.3,0.1,0.7,1
17,53,13.8,6.7,2.1,4.7,43.5,0.2,0.7,19.8,2.7,3.8,75.1,1.1,1.9,3.1,0.2,0.4,0.6,0.7,1
18,83,8.5,2.2,0.9,1.8,48.4,0.0,0.0,5.6,0.5,0.9,63.4,0.2,0.6,0.8,1.3,0.4,0.2,0.8,1
19,64,10.4,5.1,2.2,4.9,45.5,0.0,0.0,0.0,0.8,1.8,43.6,0.7,1.0,1.6,1.2,0.5,0.1,1.2,1
20,50,22.7,14.7,5.7,11.9,50.4,0.3,1.2,24.3,3.1,4.5,68.3,1.2,2.3,3.7,2.3,0.3,0.1,1.9,1
21,60,13.9,4.3,1.6,3.2,46.5,0.0,0.2,16.5,1.1,2.0,56.7,1.8,2.4,3.9,0.1,0.2,1.6,0.8,1
22,64,15.7,6.0,2.1,4.1,50.5,0.3,0.7,14.0,1.6,2.1,77.2,0.7,1.6,2.2,0.7,0.5,0.3,0.9,1
23,71,10.1,4.0,1.4,3.0,47.7,0.4,0.7,31.4,1.3,1.6,84.3,0.3,0.5,0.8,1.8,0.5,0.0,1.6,0
24,90,38.4,12.5,5.1,10.2,50.2,0.4,0.9,18.1,2.9,4.5,66.7,3.0,5.7,8.8,3.2,1.7,0.8,2.1,1
25,34,10.5,3.3,1.2,2.7,43.6,0.0,0.0,23.4,1.2,1.7,64.9,1.5,2.4,3.8,0.5,0.2,0.6,0.6,0
26,77,15.4,4.9,1.7,3.6,48.1,0.8,2.0,14.3,0.8,1.2,59.0,1.3,4.1,5.5,0.4,0.1,0.2,0.4,1
27,74,12.6,7.4,3.1,6.1,51.0,0.0,0.0,11.9,1.6,2.7,64.4,1.8,1.9,3.6,0.7,0.3,0.4,1.5,1
28,80,17.4,7.5,2.7,8.6,28.8,0.3,1.5,24.6,1.8,1.9,98.9,0.4,1.1,1.6,3.3,0.6,0.0,1.4,1
29,59,20.0,9.4,3.5,7.5,44.2,0.4,1.3,47.4,1.7,2.0,79.6,0.9,1.9,2.7,1.4,0.9,0.1,0.9,1
30,96,42.0,15.2,5.7,12.2,47.5,0.6,2.0,32.9,3.3,4.4,78.7,1.9,2.7,5.0,5.8,1.6,0.5,2.7,1
31,35,14.7,4.5,1.9,3.5,52.2,0.0,0.0,0.0,1.0,1.5,66.1,1.6,3.2,5.2,0.4,0.4,0.7,0.7,1
32,53,16.2,6.2,2.3,4.9,46.0,0.1,0.3,21.4,1.5,2.2,69.6,0.9,2.2,2.8,1.4,0.5,0.2,1.1,1
33,92,23.1,9.0,3.6,9.5,35.8,0.8,2.2,28.9,1.1,1.5,75.6,0.9,2.2,3.0,2.7,0.5,0.2,1.3,1
34,58,12.5,3.3,1.2,3.1,40.9,0.2,0.7,17.3,0.9,1.5,55.1,0.2,0.7,1.0,2.5,0.4,0.1,1.0,0
35,47,12.3,4.4,1.7,3.3,52.7,0.0,0.0,13.9,0.8,1.0,81.3,0.4,1.3,1.7,0.2,0.3,0.2,0.5,1
36,58,32.9,13.7,4.6,10.0,46.7,0.8,2.7,38.7,3.0,3.4,90.4,1.3,4.0,5.2,2.2,0.8,0.3,1.6,1
37,70,18.7,7.4,2.7,5.3,50.2,0.3,0.9,11.0,2.1,2.9,67.5,1.9,4.5,6.3,0.3,0.6,0.5,0.7,1
38,100,12.1,4.4,1.6,3.6,47.1,0.4,1.1,0.0,1.0,1.5,67.6,1.1,2.3,3.6,0.4,0.4,1.6,1.0,1
39,71,15.7,5.8,2.2,4.6,46.0,0.0,0.0,0.0,1.6,2.5,61.6,1.2,1.8,2.9,0.7,0.4,0.4,1.1,1
40,53,15.8,6.2,2.3,4.9,49.4,0.1,0.5,11.5,1.9,3.0,63.1,0.9,2.0,3.0,1.0,0.5,0.5,0.9,1
41,47,13.2,5.6,2.3,4.4,47.6,0.0,0.0,9.9,1.4,2.0,74.0,1.6,1.3,2.6,0.4,0.1,0.4,0.8,1
42,51,15.2,7.3,3.0,5.5,51.2,0.4,0.8,24.4,1.0,1.2,76.4,1.1,1.4,2.4,0.4,0.4,0.1,0.6,1
43,91,40.8,18.2,7.4,14.3,54.8,0.0,0.0,0.0,4.2,5.8,73.7,3.8,7.5,11.9,1.5,0.9,2.2,2.8,1
44,106,45.0,20.0,7.5,14.7,52.6,0.4,1.2,21.5,4.6,6.4,71.4,2.6,6.0,9.3,3.5,1.7,0.5,2.5,0
45,66,16.8,7.0,3.0,8.0,38.1,0.0,0.0,46.5,0.8,1.1,79.2,0.5,1.2,1.7,2.1,0.7,0.1,1.1,1
46,59,9.3,3.1,1.4,3.2,42.4,0.0,0.0,22.9,0.5,0.8,68.6,1.2,0.8,1.7,0.4,0.3,0.0,0.9,1
47,77,20.8,8.6,3.9,8.6,45.3,0.3,0.8,17.0,1.1,1.9,58.3,2.2,2.6,4.8,1.4,0.4,0.8,1.5,1
48,37,18.2,5.3,2.2,4.9,44.8,0.1,0.5,0.0,0.6,1.0,60.5,1.5,2.8,4.5,0.5,0.3,0.5,0.8,1
49,47,13.3,6.4,2.5,5.9,42.3,0.5,1.8,14.1,1.0,1.4,72.4,0.4,0.9,1.3,3.0,0.4,0.0,1.7,0
50,53,5.4,1.1,0.4,1.1,41.7,0.0,0.0,0.0,0.2,0.3,58.6,0.5,0.5,0.9,0.4,0.2,0.0,0.3,1
51,79,19.1,7.4,3.0,5.8,51.7,0.1,0.2,6.8,1.6,2.5,64.8,1.3,2.5,4.1,0.4,0.5,0.3,1.5,1
52,58,14.7,10.1,4.3,7.6,54.9,0.0,0.0,11.2,1.9,3.4,49.2,2.4,2.3,4.9,0.8,0.5,0.0,1.6,1
